Epoch,Update Target Network,Training Iter,Episode #,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,66.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,0.0037183761596679688,,,,,,,,,1425.817026051608,788.4683281806014,2728.4418354034424,34.489479064941406,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,11.772315979003906,2.2343802452087402,19.156612396240234,7.253993988037109,,,,,-0.2679869532585144,2.741450309753418,10.0,-10.393192291259766
2,1.0,132.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,0.4516465663909912,,,,-470932.7580764538,-2.8774871826171875,-88207.34390873903,-61.632386327843165,-1.5876127016146419e+28,1253.2316159046059,698.6068893457498,2390.056074142456,58.22200393676758,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,15.297008514404297,3.508518934249878,27.465627670288086,8.377908706665039,,,,,-0.6890879273414612,2.865723133087158,10.0,-11.889062881469727
3,0.0,198.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,0.8402750492095947,,,,-187937.8268712761,-2.5517075061798096,-63076.12151293379,-39.96808151185471,-9.084265267335199e+18,1030.4785146713257,569.826567062435,1958.1666612625122,28.13837242126465,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,19.54485511779785,4.928285121917725,31.923879623413086,10.580301284790039,,,,,-1.2817927598953247,3.1117324829101562,10.0,-11.889062881469727
4,1.0,264.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,1.233116865158081,,,,-180413.37308500314,-2.56569504737854,-62669.0392325812,-32.49798627386232,-68330080422687.86,1063.7333524588382,595.4127777051937,2035.1770706176758,21.886781692504883,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,22.107898712158203,4.575517654418945,33.35088348388672,14.160148620605469,,,,,-1.8338603973388672,3.58316969871521,10.0,-14.190811157226562
5,1.0,330.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,1.6429219245910645,,,,-446503.7194181307,-3.160247325897217,-86065.20904482825,-32.49798376988556,-2.763899480155503e+22,944.6473231749101,567.0128966593107,1980.4580764770508,29.62436866760254,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,23.240745544433594,5.674648761749268,41.57231903076172,13.177114486694336,,,,,-2.1915791034698486,3.897946357727051,10.0,-16.793380737304688
6,0.0,396.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,2.0753893852233887,,,,-824049.5768389049,-4.509439945220947,-118736.58915918691,-61.62962483745346,-8.68364510600744e+23,1061.803338021943,593.4481511762767,2057.576910018921,21.33113670349121,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,24.470596313476562,6.658677101135254,45.318363189697266,14.320199012756348,,,,,-2.344914197921753,4.213048934936523,10.0,-16.793380737304688
7,1.0,462.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,2.4574291706085205,,,,-876956.9417493911,-4.919341564178467,-116369.91557307525,-31.833707214681528,-9.047502348154533e+23,1178.0177064086452,674.9855336208043,2302.752025604248,37.141014099121094,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,27.629823684692383,6.038930892944336,44.87834548950195,15.843409538269043,,,,,-2.3844828605651855,4.614877700805664,10.0,-19.98575782775879
8,1.0,528.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,2.8349173069000244,,,,-912825.6907001811,-4.904722213745117,-146183.1251888204,-31.813559923175642,1.447794058297728e+24,1067.0634723143144,601.6574857767519,2156.357376098633,34.158206939697266,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,28.32255744934082,7.585774898529053,46.54302978515625,14.688764572143555,,,,,-2.3452341556549072,4.9084601402282715,10.105035781860352,-24.11689567565918
9,0.0,594.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,3.221529722213745,,,,-704175.9367518052,-4.79461669921875,-95506.06751876578,-29.9824663332261,-1.6257791798311312e+22,1058.2611849235766,574.8836821243974,2020.1050205230713,24.340072631835938,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,29.465068817138672,8.871124267578125,71.0184097290039,12.07371711730957,,,,,-2.376993179321289,5.26089334487915,10.220450401306152,-24.11689567565918
10,1.0,660.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,3.6084744930267334,,,,-120707.14959199543,-4.669913291931152,-29068.598567343503,-17.031843136374526,-651789271212.3093,1124.0052166852083,618.9225885447222,2167.1918354034424,45.270416259765625,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,34.27973556518555,9.298055648803711,63.69898223876953,12.898910522460938,,,,,-2.34512996673584,5.771119594573975,10.130694389343262,-29.07652473449707
11,1.0,726.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,3.985738754272461,,,,-40697.42390263069,-4.944173336029053,-17501.40547477586,-19.822332134169763,-6766397.911837481,1023.066885731437,623.154257009359,2132.75802898407,16.9643611907959,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,36.172428131103516,10.738974571228027,66.43263244628906,10.209005355834961,,,,,-2.2209997177124023,6.202963829040527,10.066844940185547,-34.26850891113281
12,0.0,792.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,4.374205589294434,,,,-38379.98320186933,-5.059882640838623,-15983.89140272121,-0.9871246862842722,-323762.72046921414,1091.795488545389,611.6684103091602,2186.34304523468,37.67710494995117,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,38.27383041381836,13.04803466796875,96.18565368652344,22.392663955688477,,,,,-2.170435667037964,6.678924083709717,10.066516876220703,-34.26850891113281
13,1.0,858.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,4.778866767883301,,,,-38144.06357906587,-5.082642555236816,-15863.254445529044,7.701546839083489,-188893.03339182536,1306.7264719876375,711.2185978973371,2548.3124589920044,31.99337387084961,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,45.597930908203125,17.640361785888672,93.36431884765625,17.338735580444336,,,,,-2.117847442626953,7.191546440124512,10.180937767028809,-39.43467330932617
14,1.0,924.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,5.158745765686035,,,,-37927.177273246554,-5.15803337097168,-15765.714875837923,7.797187603977575,-181465.36968025565,1356.8576682697642,743.3274452495789,2606.1180744171143,19.48804473876953,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,45.44422912597656,15.20824146270752,90.06764221191406,15.596543312072754,,,,,-1.964094877243042,7.542131423950195,10.0,-43.515933990478516
15,0.0,990.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,5.50551438331604,,,,-37741.394490150284,-5.154670238494873,-15660.09921404788,7.807454555834069,-176573.6010552007,1431.2583396362536,791.0826051043607,2860.8567667007446,73.85602569580078,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,52.03194808959961,19.19705581665039,98.36380004882812,20.346031188964844,,,,,-1.8197025060653687,7.8724260330200195,10.160033226013184,-43.515933990478516
16,1.0,1056.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,5.897778511047363,,,,-37623.009061609744,-5.153877258300781,-15590.489228540226,7.808410014861647,-174108.08605917924,1596.4812911929507,982.6227849683399,3199.92036151886,6.157325744628906,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,56.48477554321289,21.813621520996094,133.7028350830078,21.68020248413086,,,,,-1.8902840614318848,8.273372650146484,10.02957534790039,-47.58051681518555
17,1.0,1122.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,6.28933572769165,,,,-37472.24519756501,-5.163387298583984,-15500.01450797877,7.80259902758609,-170820.27096439453,1736.9644241838744,964.8239617791755,3327.324007511139,58.86132049560547,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,58.47760009765625,28.1202449798584,127.08717346191406,20.344907760620117,,,,,-1.737195372581482,8.392065048217773,10.043550491333008,-49.95524215698242
18,0.0,1188.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,6.65446400642395,,,,-37427.324706046355,-5.209275722503662,-15468.223723341176,7.789912659318554,-167880.77718142077,1842.2797244245355,1012.0450816368767,3443.811420440674,87.68413543701172,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,66.07483673095703,29.505741119384766,172.6332550048828,24.973817825317383,,,,,-1.799433946609497,8.713288307189941,10.107064247131348,-49.95524215698242
19,1.0,1254.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,7.053906440734863,,,,-37431.25031542933,-5.243221759796143,-15468.840232515327,7.78002396201586,-166970.38422434012,1878.4456316630046,1066.1520368963422,3671.947504043579,62.92160415649414,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,60.5800895690918,25.072046279907227,138.77874755859375,25.05108070373535,,,,,-1.643144965171814,8.846794128417969,10.080822944641113,-52.651607513427734
20,1.0,1320.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,7.4599480628967285,,,,-37437.933087290716,-5.258314609527588,-15472.803103549933,7.637619835594065,-166974.8325930994,1880.51877450943,1131.914867328202,3792.0790762901306,118.23782348632812,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,70.28911590576172,30.453338623046875,173.18582153320312,29.390352249145508,,,,,-1.6847667694091797,9.047769546508789,10.0,-55.568199157714844
21,0.0,1386.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,7.8444836139678955,,,,-37459.99406652416,-5.26474666595459,-15480.549415496438,7.056393453707039,-166605.16033191927,2101.356423551386,1186.5343111005861,4006.6540784835815,48.824161529541016,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,70.8609390258789,31.130077362060547,168.74815368652344,25.170513153076172,,,,,-1.6897448301315308,9.309106826782227,10.32071304321289,-55.568199157714844
22,1.0,1452.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,8.250730276107788,,,,-37596.12980478289,-5.265251159667969,-15567.570425425753,5.870036942368504,-167202.66721136015,2306.121691971114,1246.9300314569648,4220.87099313736,225.40286254882812,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,75.65404510498047,32.503021240234375,196.3166046142578,16.210847854614258,,,,,-1.8162431716918945,9.533543586730957,10.0,-58.17671203613281
23,1.0,1518.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,8.63689398765564,,,,-37659.97036548136,-5.2657999992370605,-15606.196883735316,5.228113923769076,-167410.1560152947,2167.283958463958,1235.0145045797515,4364.976950645447,28.799711227416992,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,79.49569702148438,35.00366973876953,192.9965362548828,18.639541625976562,,,,,-1.8414318561553955,9.64510440826416,10.122560501098633,-59.80955505371094
24,0.0,1584.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,9.033580303192139,,,,-37807.691308772926,-5.265223026275635,-15700.636781864601,4.021985809424645,-167983.8411854897,2176.389764554573,1309.559684032825,4461.808641433716,20.098529815673828,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,86.05081939697266,39.69572448730469,200.5249481201172,24.78606414794922,,,,,-1.8504929542541504,9.803647994995117,10.0,-59.80955505371094
25,1.0,1650.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,9.444897174835205,,,,-37838.70116275469,-5.266189098358154,-15717.357787377345,5.06038782797375,-168026.2188232847,2255.357285152782,1369.0838741205453,4683.858199119568,14.235538482666016,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,87.42285919189453,44.983680725097656,211.12911987304688,24.224491119384766,,,,,-1.9865009784698486,10.065876960754395,10.010865211486816,-62.29262161254883
26,1.0,1716.0,0.0,0.0,5234.0,1183.0,0.0,0.0,0.0,0.0,0.0,9.848296165466309,,,,-38393.839737574126,-5.2659173011779785,-16070.17643520633,2.585610640825676,-170382.76003389372,2328.908294648835,1310.6300674996698,4854.682162284851,9.444869041442871,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,83.47270202636719,44.31386947631836,268.6803894042969,26.62735939025879,,,,,-2.0160768032073975,10.225021362304688,10.0,-63.97841262817383
