Epoch,Update Target Network,Training Iter,Episode #,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,106.0,0.0,0.0,8422.0,1549.0,0.0,0.0,0.0,0.0,0.0,0.0033371448516845703,,,,,,,,,2593.618424730481,1432.0728217201292,5008.789818763733,50.884864807128906,0.00010000000000000002,1.3552527156068805e-20,0.0001,0.0001,13.911981582641602,2.9845049381256104,22.291826248168945,6.992115020751953,,,,,-0.8151214718818665,2.9486172199249268,10.0,-12.336942672729492
2,1.0,212.0,0.0,0.0,8422.0,1549.0,0.0,0.0,0.0,0.0,0.0,0.9495360851287842,,,,-271218.70339669124,-4.333998680114746,2754.439423576474,-86.70124209751589,-1.010376982519965e+19,2274.8213549380034,1242.5411317616229,4401.386785507202,54.89411163330078,0.00010000000000000002,1.3552527156068805e-20,0.0001,0.0001,20.971023559570312,5.025783061981201,40.85989761352539,11.469284057617188,,,,,-2.2502281665802,3.4372715950012207,10.0,-16.367141723632812
3,1.0,318.0,0.0,0.0,8422.0,1549.0,0.0,0.0,0.0,0.0,0.0,1.4838447570800781,,,,-254658.10258766866,-4.302234649658203,1996.3934816341812,-30.39062989758536,-1791786152810.3108,2198.8298859506285,1191.8336363344552,4311.3567237854,57.546077728271484,0.00010000000000000002,1.3552527156068805e-20,0.0001,0.0001,28.009145736694336,8.040287017822266,65.01563262939453,15.21391773223877,,,,,-4.043757438659668,4.255398273468018,10.0,-19.569936752319336
4,1.0,424.0,0.0,0.0,8422.0,1549.0,0.0,0.0,0.0,0.0,0.0,1.958038091659546,,,,-308847.3302092924,-4.677730083465576,4345.400649414002,-60.46626873279258,-2614481799959.565,2249.905584389309,1268.2825223841014,4525.518598556519,53.70779800415039,0.00010000000000000002,1.3552527156068805e-20,0.0001,0.0001,32.79795455932617,8.997254371643066,69.26542663574219,17.744890213012695,,,,,-5.341760158538818,5.053505897521973,10.0,-21.465280532836914
5,1.0,530.0,0.0,0.0,8422.0,1549.0,0.0,0.0,0.0,0.0,0.0,2.4149558544158936,,,,-224120.67927386967,-6.527767658233643,2991.7296822045046,-87.31322274031217,-1.31837145879441e+23,2363.0692682626113,1317.3126047214214,4665.8695640563965,36.33143997192383,0.00010000000000000002,1.3552527156068805e-20,0.0001,0.0001,38.049598693847656,8.558600425720215,64.23326873779297,20.680612564086914,,,,,-6.244657039642334,5.806179523468018,10.0,-21.465280532836914
6,1.0,636.0,0.0,0.0,8422.0,1549.0,0.0,0.0,0.0,0.0,0.0,2.9094581604003906,,,,-257298.45117115145,-6.599709987640381,-2958.925399035108,-69.49905326290728,-1.3665363163931907e+20,2366.7857356881195,1370.5136500916628,4737.3717918396,40.731441497802734,0.00010000000000000002,1.3552527156068805e-20,0.0001,0.0001,42.79507827758789,11.208717346191406,74.17161560058594,22.42281723022461,,,,,-6.716798782348633,6.557668685913086,10.0,-24.53374481201172
7,1.0,742.0,0.0,0.0,8422.0,1549.0,0.0,0.0,0.0,0.0,0.0,3.78548002243042,,,,-97081.88605745073,-6.391246318817139,492.8743940839695,-69.4992355814391,-2286407332566455.0,2354.4724875036277,1368.9813543305036,4749.723876953125,36.075103759765625,0.00010000000000000002,1.3552527156068805e-20,0.0001,0.0001,46.24827575683594,12.458255767822266,99.025634765625,23.886762619018555,,,,,-6.883385181427002,7.267949104309082,10.0,-28.331090927124023
8,1.0,848.0,0.0,0.0,8422.0,1549.0,0.0,0.0,0.0,0.0,0.0,4.262404441833496,,,,-73112.66347174409,-6.539521217346191,-847.2193565726316,-3.4816105017016166,-6686345.781164897,2491.4832155479576,1447.04836506392,4966.7862911224365,41.01142501831055,0.00010000000000000002,1.3552527156068805e-20,0.0001,0.0001,53.097042083740234,15.297627449035645,114.4813003540039,26.892683029174805,,,,,-6.995660305023193,8.023442268371582,10.0,-31.91672706604004
9,1.0,954.0,0.0,0.0,8422.0,1549.0,0.0,0.0,0.0,0.0,0.0,4.714876174926758,,,,-127035.31403677362,-6.707218170166016,1501.5715655056426,-11.832538602315672,-768099422.6243775,2679.327010874478,1539.7482581971904,5404.3678150177,60.540199279785156,0.00010000000000000002,1.3552527156068805e-20,0.0001,0.0001,59.26438522338867,17.916494369506836,118.85063934326172,27.09581756591797,,,,,-7.087455749511719,8.81631088256836,10.075336456298828,-36.056640625
