Epoch,Update Target Network,Training Iter,Episode #,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,92.0,0.0,0.0,7283.0,1427.0,0.0,0.0,0.0,0.0,0.0,0.0034186840057373047,,,,,,,,,2378.713617324829,1295.3322296402134,4519.842321395874,65.8877944946289,0.0001,0.0,0.0001,0.0001,13.09597396850586,2.52762508392334,19.93507957458496,7.937021732330322,,,,,-0.6746222972869873,2.942301034927368,10.0,-10.1017484664917
2,1.0,184.0,0.0,0.0,7283.0,1427.0,0.0,0.0,0.0,0.0,0.0,0.5295500755310059,,,,-314428.3118203863,-5.114852428436279,-28646.763668574,-51.263895191252324,-8.604667269742406e+31,2086.898944294971,1142.1996728653328,3951.4700412750244,37.76943588256836,0.0001,0.0,0.0001,0.0001,18.954038619995117,3.682128429412842,28.696626663208008,10.517674446105957,,,,,-1.620415449142456,3.196065664291382,10.0,-11.874502182006836
3,1.0,276.0,0.0,0.0,7283.0,1427.0,0.0,0.0,0.0,0.0,0.0,1.022026538848877,,,,-219849.90439421326,-5.022002220153809,-30020.06082534208,-50.40316513969371,-10083106805656.646,1824.9077850217404,1070.2802597464388,3605.565616607666,38.81843566894531,0.0001,0.0,0.0001,0.0001,25.058862686157227,6.960562705993652,49.87592697143555,7.319016456604004,,,,,-2.9974212646484375,3.8183906078338623,10.0,-14.919300079345703
4,1.0,368.0,0.0,0.0,7283.0,1427.0,0.0,0.0,0.0,0.0,0.0,1.52164888381958,,,,-219522.104441916,-5.0204386711120605,-29945.125669331264,-32.49798441946235,-252868113.46292952,1875.700082074041,1140.7124568764323,3768.6749897003174,31.983909606933594,0.0001,0.0,0.0001,0.0001,30.20343017578125,8.219786643981934,50.81840896606445,14.771108627319336,,,,,-4.303990364074707,4.510035514831543,10.0,-18.80097770690918
5,1.0,460.0,0.0,0.0,7283.0,1427.0,0.0,0.0,0.0,0.0,0.0,2.02502179145813,,,,-199264.31509589832,-4.982774257659912,-31271.12671511414,-32.522720892375546,-286643779.1974917,2027.8405476445737,1267.047588102847,4212.168912887573,38.200191497802734,0.0001,0.0,0.0001,0.0001,37.07780838012695,11.51989459991455,100.21902465820312,15.969903945922852,,,,,-5.371438980102539,5.172125816345215,10.0,-20.951683044433594
6,1.0,552.0,0.0,0.0,7283.0,1427.0,0.0,0.0,0.0,0.0,0.0,2.5265610218048096,,,,-175381.32382097904,-5.279716968536377,-29738.693452112857,-42.852521737310155,-13995121997008.582,2160.1101220172386,1313.9325801555817,4481.002149581909,41.69234085083008,0.0001,0.0,0.0001,0.0001,41.32382583618164,10.767494201660156,69.05921173095703,18.79521369934082,,,,,-6.095406532287598,5.7886271476745605,10.0,-24.967344284057617
7,1.0,644.0,0.0,0.0,7283.0,1427.0,0.0,0.0,0.0,0.0,0.0,2.992321252822876,,,,-54408.62213346926,-5.536952018737793,-21789.43573496395,-42.83860325233825,-922165017574634.9,2272.148212349933,1335.1760393994111,4604.464324951172,42.45967102050781,0.0001,0.0,0.0001,0.0001,47.258644104003906,14.15071964263916,102.4177017211914,26.93142318725586,,,,,-6.654239654541016,6.489925861358643,10.0,-29.315359115600586
8,1.0,736.0,0.0,0.0,7283.0,1427.0,0.0,0.0,0.0,0.0,0.0,3.458165168762207,,,,-53082.47186825571,-5.637979507446289,-21931.748187303823,-42.838603246005945,-29172672025350.05,2389.5762720522675,1399.8543118294954,4861.67816734314,45.76313400268555,0.0001,0.0,0.0001,0.0001,54.214256286621094,25.420381546020508,246.81549072265625,20.537471771240234,,,,,-7.108981609344482,7.35815954208374,10.0,-34.53498458862305
9,1.0,828.0,0.0,0.0,7283.0,1427.0,0.0,0.0,0.0,0.0,0.0,3.918398857116699,,,,-75017.57039943994,-5.99072265625,-24633.29575051764,-42.83859499873406,-730395926.820533,2580.4430051679196,1541.8250288714446,5260.253643035889,37.06440353393555,0.0001,0.0,0.0001,0.0001,59.137054443359375,19.73836326599121,140.95574951171875,21.759565353393555,,,,,-7.397043228149414,8.309305191040039,10.0,-39.21024703979492
