Epoch,Update Target Network,Training Iter,Episode #,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,82.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.003468751907348633,,,,,,,,,2379.077898769844,1309.4979332191954,4525.441028594971,59.4875602722168,0.0001,0.0,0.0001,0.0001,21.98672866821289,4.213072299957275,34.10088348388672,11.63696002960205,,,,,-0.9928817749023438,3.15812611579895,10.0,-10.396594047546387
2,1.0,164.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.6513082981109619,,,,-2288513.8979886496,-5.695460319519043,-266211.39230366756,-38.01036463376607,-4.404919720017322e+17,2080.80245794901,1169.4250435767708,3955.7542724609375,47.09041976928711,0.0001,0.0,0.0001,0.0001,35.13499450683594,9.907920837402344,55.67146301269531,13.800291061401367,,,,,-1.8814674615859985,3.6711385250091553,10.0,-13.889185905456543
3,1.0,246.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.0458323955535889,,,,-2185125.736401995,-5.666728496551514,-189004.87922220898,-21.946456592718192,-215394380048004.1,1777.9182424777891,1109.8372689460966,3693.5691299438477,38.04739761352539,0.0001,0.0,0.0001,0.0001,46.14876937866211,18.84332847595215,96.5293960571289,18.43583106994629,,,,,-3.4789929389953613,4.91275691986084,10.0,-21.182035446166992
4,1.0,328.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.6206421852111816,,,,-2185157.5405629887,-5.666663646697998,-189013.17369372072,-21.806025468965213,-215478927460631.6,1801.0764526739354,1122.19355530497,3973.3071098327637,43.61626052856445,0.0001,0.0,0.0001,0.0001,52.11296081542969,25.650352478027344,140.4202117919922,18.986337661743164,,,,,-5.45262336730957,6.402714729309082,10.0,-30.410903930664062
5,1.0,410.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,2.068040370941162,,,,-2185157.241161944,-5.666664123535156,-189013.09342476784,-2.3424549301887376,-215189264797539.2,2339.396820905732,1307.1206022774513,4812.060785293579,74.19385528564453,0.0001,0.0,0.0001,0.0001,61.20475769042969,33.79545974731445,227.195068359375,22.61335563659668,,,,,-7.669934272766113,7.944869041442871,10.0,-38.931976318359375
6,0.0,492.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,2.5951082706451416,,,,-2185437.4533982193,-5.666637420654297,-189281.26558737815,-2.2669132213673087,-214696948142558.75,3214.7940755704553,1774.40362530951,6164.790580749512,62.7932014465332,0.0001,0.0,0.0001,0.0001,80.05620574951172,31.303640365600586,186.58895874023438,32.8420524597168,,,,,-9.775594711303711,9.457841873168945,10.0,-44.798492431640625
7,1.0,574.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,3.357990026473999,,,,-12865081.098056288,-5.578838348388672,-9373480.180723244,-2.2740039774564536,-23570051049531.965,3943.1815900104802,2440.093429095451,8032.355194091797,50.74386215209961,0.0001,0.0,0.0001,0.0001,105.93043518066406,46.3480110168457,252.570068359375,34.326622009277344,,,,,-11.796120643615723,10.93382740020752,10.0,-53.039573669433594
8,1.0,656.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,3.8099217414855957,,,,-16057502.36428596,-5.327582359313965,-12223628.56369273,-2.329913908415238,-23779227984136.273,4471.217843544193,2762.095983749046,9248.381778717041,71.946044921875,0.0001,0.0,0.0001,0.0001,123.49826049804688,55.1715087890625,388.45782470703125,43.99508285522461,,,,,-13.472620010375977,11.935501098632812,10.0,-60.25864028930664
9,1.0,738.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,4.29961895942688,,,,-21150657.341432586,-5.073584079742432,-16451150.2743781,-0.2829951466360969,-6040092311337.291,5112.426870299549,3008.1029517044067,10559.513694763184,163.47238159179688,0.0001,0.0,0.0001,0.0001,135.53155517578125,57.800960540771484,358.7044677734375,49.00086975097656,,,,,-15.133475303649902,13.05789566040039,10.0,-64.42483520507812
10,1.0,820.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,4.797084331512451,,,,-26739891.656018626,-5.022031307220459,-20949497.534343895,6.584327524153059,-146878588.6763814,5748.843420075207,3386.7230779726146,11715.141563415527,107.2059326171875,0.0001,0.0,0.0001,0.0001,155.61778259277344,58.64303970336914,320.64971923828125,62.61703872680664,,,,,-16.582597732543945,13.953696250915527,10.0,-68.21309661865234
11,1.0,902.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,5.537158012390137,,,,-26739530.877901357,-4.992427349090576,-20950641.705729265,6.624794510930375,-146830186.0573306,6589.357870706698,3709.317508693213,12941.147026062012,92.34881591796875,0.0001,0.0,0.0001,0.0001,172.76548767089844,71.0294189453125,468.8555908203125,66.0976791381836,,,,,-17.89305305480957,14.853589057922363,10.0,-71.54007720947266
12,0.0,984.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,6.015355825424194,,,,-26739043.672260914,-4.963065147399902,-20952395.51168715,6.615544400515788,-146775917.9947281,7313.900156625888,4337.288904133297,14548.93090057373,122.23087310791016,0.0001,0.0,0.0001,0.0001,188.56024169921875,62.64517593383789,341.35736083984375,84.66857147216797,,,,,-19.03669548034668,15.840086936950684,10.0,-76.2185287475586
13,1.0,1066.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,6.449829816818237,,,,-26739040.80208796,-4.924845218658447,-20952404.761032127,7.066916920483021,-146721850.78017497,7970.704620733493,4919.299377996994,16077.855026245117,149.86851501464844,0.0001,0.0,0.0001,0.0001,202.61790466308594,73.3041000366211,444.4764709472656,58.73305892944336,,,,,-19.899120330810547,16.73110580444336,10.0,-79.86064910888672
14,1.0,1148.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,6.884756326675415,,,,-26739037.37982702,-4.915099143981934,-20952404.33954359,7.774800478413286,-146686607.96350682,8424.087454539973,4934.5328796195745,17167.211296081543,195.38490295410156,0.0001,0.0,0.0001,0.0001,233.52236938476562,107.00899505615234,722.6900634765625,77.03644561767578,,,,,-20.601287841796875,17.404226303100586,10.370795249938965,-83.58686828613281
15,1.0,1230.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,7.337883710861206,,,,-26738898.981103983,-4.915619373321533,-20952384.027366504,7.8108511668977165,-146680648.49011132,9261.680513335437,5262.396455678163,18062.197715759277,189.19461059570312,0.0001,0.0,0.0001,0.0001,222.83895874023438,80.88964080810547,502.645263671875,74.82019805908203,,,,,-21.28601837158203,18.067712783813477,10.75383186340332,-84.47465515136719
16,1.0,1312.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,8.115471124649048,,,,-26738156.55844108,-4.926178932189941,-20952273.14813579,7.810972649346609,-146653515.32838312,9238.238154248493,5567.394540439208,19184.85178375244,166.03521728515625,0.0001,0.0,0.0001,0.0001,237.80770874023438,85.76421356201172,512.8654174804688,95.17181396484375,,,,,-21.952831268310547,18.85787582397461,11.052947998046875,-88.1102523803711
17,0.0,1394.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,8.782859802246094,,,,-26737456.342150692,-4.943734645843506,-20952195.328074876,7.810985606571838,-146571013.17655367,10333.147530625507,5818.296671514548,20493.748580932617,223.1319122314453,0.0001,0.0,0.0001,0.0001,269.30548095703125,96.19119262695312,524.2754516601562,120.86287689208984,,,,,-22.566377639770508,19.475740432739258,10.978070259094238,-90.20004272460938
18,1.0,1476.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,9.258232831954956,,,,-26738033.81874931,-4.9508538246154785,-20952473.51895679,7.810996624621348,-146618918.34044987,11005.75171866068,6396.854690581339,21945.89515686035,95.02040100097656,0.0001,0.0,0.0001,0.0001,294.797607421875,115.86023712158203,626.68310546875,119.18257904052734,,,,,-22.896024703979492,20.16806983947754,11.318612098693848,-91.80220031738281
19,1.0,1558.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,9.989431142807007,,,,-26745724.71642748,-4.9697465896606445,-20954565.93436283,7.810998012859783,-146646542.02015874,11231.096179776076,6764.662427118199,22954.772735595703,292.38568115234375,0.0001,0.0,0.0001,0.0001,274.2925720214844,111.5948715209961,767.942626953125,89.96835327148438,,,,,-23.033716201782227,20.727344512939453,11.427528381347656,-94.04344177246094
20,1.0,1640.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,10.781447172164917,,,,-26746056.12992374,-5.000885486602783,-20954647.731762093,7.8109983625060755,-146542183.51575112,11485.101981372369,6953.637426528483,24012.98712158203,248.51995849609375,0.0001,0.0,0.0001,0.0001,322.4248962402344,129.19041442871094,724.04443359375,80.21935272216797,,,,,-23.57818603515625,21.375247955322266,11.531042098999023,-96.2081527709961
21,1.0,1722.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,11.531156063079834,,,,-26749918.969902433,-5.096723556518555,-20955690.094836462,7.810999448400468,-146591276.94106278,12417.324815889684,6975.107715646318,24691.81597137451,222.59417724609375,0.0001,0.0,0.0001,0.0001,320.6356506347656,126.92619323730469,767.0822143554688,101.83706665039062,,,,,-23.69729232788086,21.768667221069336,11.369058609008789,-97.07183837890625
22,1.0,1804.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,12.072919130325317,,,,-26750808.18419889,-5.1081624031066895,-20955951.364220012,7.81099842246963,-146490561.4961104,12982.464649758687,7347.496533776203,25257.629501342773,269.3088073730469,0.0001,0.0,0.0001,0.0001,322.09539794921875,126.41505432128906,656.1459350585938,122.0055160522461,,,,,-23.980531692504883,22.156051635742188,11.525039672851562,-98.92374420166016
23,0.0,1886.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,12.480012655258179,,,,-26750606.148444243,-5.1381306648254395,-20955861.069216743,7.810996697799598,-146478919.5949219,13094.126949403344,7488.025259940897,25921.658142089844,212.8280487060547,0.0001,0.0,0.0001,0.0001,326.6177673339844,132.1890106201172,887.4227294921875,117.39595031738281,,,,,-24.142833709716797,22.614336013793945,11.44201946258545,-100.32852935791016
24,1.0,1968.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,13.199749946594238,,,,-26739284.898364,-5.199385643005371,-20929444.970991176,7.8059436249186485,-146513807.79640347,12815.377816083954,7453.805285859006,26639.085777282715,142.76998901367188,0.0001,0.0,0.0001,0.0001,328.3768615722656,143.4580535888672,990.5634155273438,78.59170532226562,,,,,-24.308290481567383,22.98339080810547,11.760088920593262,-102.35578155517578
25,1.0,2050.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,13.763750076293945,,,,-26731763.944059078,-5.222105503082275,-20911721.827561904,7.810806984454418,-146446124.1124922,13765.939120595049,7686.467729698692,26679.356636047363,728.3797607421875,0.0001,0.0,0.0001,0.0001,333.4510498046875,124.6961441040039,717.0819091796875,108.63606262207031,,,,,-24.250774383544922,23.091333389282227,11.607077598571777,-101.77371215820312
26,1.0,2132.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,14.233577728271484,,,,-26537543.79763081,-5.244874477386475,-20635919.48054559,7.809776790324305,-146440227.07015663,13956.0745399289,7868.505117082175,26771.91365814209,325.37652587890625,0.0001,0.0,0.0001,0.0001,359.1875,129.48196411132812,786.7828979492188,104.74384307861328,,,,,-24.032337188720703,23.281688690185547,12.476344108581543,-101.10157775878906
27,1.0,2214.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,14.725783109664917,,,,-26481683.72895585,-5.249987602233887,-20556542.081564646,7.810481526484749,-146526850.23368385,13100.756043596966,7954.232933478327,27651.233459472656,250.69265747070312,0.0001,0.0,0.0001,0.0001,340.9212951660156,131.3406524658203,816.7080688476562,155.11412048339844,,,,,-24.090763092041016,23.611530303955078,13.33232307434082,-102.74417114257812
28,0.0,2296.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,15.434538841247559,,,,-26481638.541419726,-5.24806022644043,-20556678.71384942,7.81093469732812,-146471386.06446913,14142.214435856517,8278.687068355212,28053.11602783203,190.18832397460938,0.0001,0.0,0.0001,0.0001,365.0936584472656,136.87733459472656,766.9480590820312,119.31729125976562,,,,,-24.216754913330078,23.882375717163086,14.076684951782227,-103.75007629394531
29,1.0,2378.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,16.139639377593994,,,,-26480721.48690806,-5.2635698318481445,-20557846.13939076,7.810989120238751,-146511258.83508557,15454.803688421482,8614.685011138054,29009.574798583984,285.1106262207031,0.0001,0.0,0.0001,0.0001,393.7856140136719,165.11590576171875,909.9644165039062,123.94548034667969,,,,,-24.45887565612793,24.26119613647461,14.201252937316895,-104.92205047607422
30,1.0,2460.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,16.885597229003906,,,,-26479435.659645326,-5.302093982696533,-20559645.46273394,7.810978876801562,-146441482.0139458,14684.015715529278,8966.234735282802,30885.69603729248,270.0836181640625,0.0001,0.0,0.0001,0.0001,405.2430114746094,191.304931640625,1329.3466796875,106.13166809082031,,,,,-24.908376693725586,25.012487411499023,14.419537544250488,-108.75677490234375
31,1.0,2542.0,0.0,0.0,6519.0,1000.0,0.0,0.0,0.0,0.0,0.0,17.61064910888672,,,,-26478847.79463799,-5.336277961730957,-20560550.006860964,7.81092024292213,-146405970.2855469,15761.024922068525,8649.448981913563,30860.798141479492,341.05438232421875,0.0001,0.0,0.0001,0.0001,364.2259521484375,138.16371154785156,808.98291015625,131.25820922851562,,,,,-24.874116897583008,25.22600555419922,15.057520866394043,-108.51985931396484
