Epoch,Update Target Network,Training Iter,Episode #,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,60.0,0.0,0.0,4771.0,1122.0,0.0,0.0,0.0,0.0,0.0,0.0033540725708007812,,,,,,,,,1304.0814548810324,712.1762862436867,2459.858413696289,53.7266845703125,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,12.729007720947266,2.724287509918213,20.02090835571289,7.31948709487915,,,,,-0.32718542218208313,2.7340595722198486,10.0,-10.405537605285645
2,1.0,120.0,0.0,0.0,4771.0,1122.0,0.0,0.0,0.0,0.0,0.0,0.4098367691040039,,,,-205122.60685814905,-2.953115463256836,13478.350370065167,-53.33856806607555,-4.0509048353393295e+19,1087.012233797709,630.8439906340524,2157.876127243042,23.717060089111328,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,15.38489055633545,3.9079909324645996,27.577604293823242,8.263277053833008,,,,,-0.7279267311096191,2.8777658939361572,10.0,-12.123589515686035
3,0.0,180.0,0.0,0.0,4771.0,1122.0,0.0,0.0,0.0,0.0,0.0,0.7840423583984375,,,,-184491.86253232128,-2.7160675525665283,18261.34269797196,-59.71784900096095,-37466797.32318663,1007.1468990008036,555.1185566304622,1895.8272666931152,37.33976745605469,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,19.222171783447266,5.442892551422119,34.670867919921875,10.19300365447998,,,,,-1.2071315050125122,3.164565324783325,10.0,-12.123589515686035
4,1.0,240.0,0.0,0.0,4771.0,1122.0,0.0,0.0,0.0,0.0,0.0,1.1446506977081299,,,,-183983.57528107057,-2.7066845893859863,18573.79700856128,-2.5974472167229212,-2072467.452562646,914.0633273760478,566.4874585372233,1886.2884902954102,26.571365356445312,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,21.50391960144043,4.867262363433838,30.06528663635254,11.749832153320312,,,,,-1.607800006866455,3.567810535430908,10.0,-14.384125709533691
5,1.0,300.0,0.0,0.0,4771.0,1122.0,0.0,0.0,0.0,0.0,0.0,1.5042264461517334,,,,-183959.8676104825,-2.706482172012329,18588.641202612875,-2.2779943365953264,-2069655.9976519078,888.4471308072408,481.1322193988171,1688.8424043655396,36.80242156982422,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,21.817646026611328,4.441445827484131,38.29292678833008,11.630838394165039,,,,,-1.8904650211334229,3.808483123779297,10.0,-14.384125709533691
6,0.0,360.0,0.0,0.0,4771.0,1122.0,0.0,0.0,0.0,0.0,0.0,1.8650462627410889,,,,-184322.81004819344,-2.711785078048706,18274.23779938013,-60.48043674320289,-3433491.7767128414,1126.3025945981344,625.0642926483,2152.9426460266113,42.622894287109375,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,26.076356887817383,6.810406684875488,50.11438751220703,16.773317337036133,,,,,-1.913748860359192,4.209230422973633,10.0,-17.486692428588867
7,1.0,420.0,0.0,0.0,4771.0,1122.0,0.0,0.0,0.0,0.0,0.0,2.2141478061676025,,,,-15381.750261782543,-3.21921968460083,-15851.625159456917,-60.64875528606562,2177539922819.1128,952.8027387619019,552.8898612214242,1991.8505039215088,32.48777770996094,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,26.698253631591797,6.736894130706787,47.03368377685547,13.884851455688477,,,,,-1.956558346748352,4.369907379150391,10.0,-21.485937118530273
8,0.0,480.0,0.0,0.0,4771.0,1122.0,0.0,0.0,0.0,0.0,0.0,2.568923234939575,,,,-22948.58005740929,-3.8239996433258057,-17025.59563979296,-42.37251913366352,-34422815864210.71,1079.6461508115133,585.1021009956945,2048.603280067444,43.46401596069336,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,29.32577896118164,7.446577548980713,44.69050216674805,15.144439697265625,,,,,-1.900507926940918,4.685938358306885,10.0,-21.485937118530273
9,1.0,540.0,0.0,0.0,4771.0,1122.0,0.0,0.0,0.0,0.0,0.0,2.929398775100708,,,,-11127.56363898421,-3.869086265563965,-14377.40668617047,-42.83814621129041,-4111015852896.483,1042.097767829895,614.204726218316,2124.1426963806152,27.381704330444336,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,34.122467041015625,13.398098945617676,72.29020690917969,13.928363800048828,,,,,-1.9791332483291626,5.1292948722839355,10.0,-26.5930233001709
