Epoch,Update Target Network,Training Iter,Episode #,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,53.0,0.0,0.0,4172.0,1061.0,0.0,0.0,0.0,0.0,0.0,0.0035097599029541016,,,,,,,,,1008.0806212515201,564.2418157130131,1966.0084953308105,41.24352264404297,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,12.49704647064209,3.3871207237243652,28.55651092529297,7.29346227645874,,,,,-0.027052346616983414,2.584198474884033,10.0,-10.202945709228516
2,1.0,106.0,0.0,0.0,4172.0,1061.0,0.0,0.0,0.0,0.0,0.0,0.38956689834594727,,,,-148638.51054266753,-1.2268283367156982,-100635.19709741542,-86.88523399119552,-2.1786770428226513e+32,858.3934268951416,474.5701757113164,1668.8431663513184,25.15451431274414,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,15.183808326721191,4.07949686050415,23.00324058532715,8.055915832519531,,,,,-0.24087688326835632,2.6778647899627686,10.0,-12.384395599365234
3,0.0,159.0,0.0,0.0,4172.0,1061.0,0.0,0.0,0.0,0.0,0.0,0.6922378540039062,,,,-4188.733177892066,-1.010820984840393,-2251.255444231708,-86.88523399119532,-66693828.34219534,767.7374257141689,425.94377427435984,1447.6875648498535,39.033912658691406,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,18.786283493041992,5.002862930297852,32.44926834106445,9.002825736999512,,,,,-0.48971447348594666,3.0158302783966064,10.0,-12.384395599365234
4,1.0,212.0,0.0,0.0,4172.0,1061.0,0.0,0.0,0.0,0.0,0.0,1.0005824565887451,,,,-1077.5857217906055,-1.0045514106750488,-48.836104084539514,7.774590620470714,-4099.15198275643,609.446461965453,327.6175739222977,1195.1394729614258,31.861143112182617,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,19.901813507080078,5.010066032409668,35.47342300415039,10.824385643005371,,,,,-0.6755741238594055,3.3887460231781006,10.0,-15.122315406799316
5,0.0,265.0,0.0,0.0,4172.0,1061.0,0.0,0.0,0.0,0.0,0.0,1.2975702285766602,,,,-1066.0164958792996,-1.0043373107910156,-40.5404542145337,7.803679758412005,-4102.225852483458,642.3266813260204,345.84570289694864,1190.975477695465,22.469606399536133,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,20.640138626098633,4.797029972076416,39.061153411865234,10.162332534790039,,,,,-0.6489279866218567,3.905027151107788,10.0,-15.122315406799316
6,1.0,318.0,0.0,0.0,4172.0,1061.0,0.0,0.0,0.0,0.0,0.0,1.609154224395752,,,,-1114.9032132877069,-1.0048751831054688,-54.75239394154843,6.6126024713442275,-4261.836332634501,536.8081418523249,332.4599824388627,1183.524745941162,25.042024612426758,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,21.14272117614746,7.319468021392822,56.37089538574219,12.644845962524414,,,,,-0.5611644983291626,4.293534278869629,10.0,-17.394498825073242
7,0.0,371.0,0.0,0.0,4172.0,1061.0,0.0,0.0,0.0,0.0,0.0,1.9579596519470215,,,,-45227.19609313784,-1.0401842594146729,-12969.043554567534,-2.234295804970957,-170756.25398631126,679.2497601059248,362.6867607772706,1279.1409330368042,35.20847702026367,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,22.20333480834961,8.3757963180542,72.63990020751953,13.41999340057373,,,,,-0.25169506669044495,4.619707107543945,10.601799011230469,-17.394498825073242
8,1.0,424.0,0.0,0.0,4172.0,1061.0,0.0,0.0,0.0,0.0,0.0,2.2970504760742188,,,,-832534.2638300343,-2.259735107421875,-241439.6581657813,-2.253109749493939,-3301553.0741803907,598.7116527197496,380.91905892629626,1247.0225839614868,21.970876693725586,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,21.196422576904297,5.839163303375244,35.613277435302734,9.96457576751709,,,,,-0.10196737945079803,4.969980716705322,11.106742858886719,-19.62256622314453
9,0.0,477.0,0.0,0.0,4172.0,1061.0,0.0,0.0,0.0,0.0,0.0,2.5907628536224365,,,,-897065.1767628484,-3.696928024291992,-245154.2527970453,-2.250848877118354,-3295610.804348031,643.0273197776867,351.4818639985375,1229.418956041336,35.218963623046875,0.00010000000000000003,2.710505431213761e-20,0.0001,0.0001,22.62778663635254,7.682579517364502,45.9249382019043,10.300232887268066,,,,,0.17255625128746033,5.240865230560303,11.42041015625,-19.62256622314453
