episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/td_error,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/mean_td_error
-12.0,-100.0,-76.08653846153847,9.615384615384615,104,0,1000,32,1000,False,104,1,default,acd59bdf299f4d519b5c67b2c0289400,2023-12-07_11-28-43,1701966523,13.051552295684814,13.051552295684814,5268,shossain-Legion-5,10.226.91.212,13.051552295684814,32,1,"[-52.0, -91.0, -82.0, -100.0, -91.0, -52.0, -52.0, -91.0, -100.0, -82.0, -82.0, -91.0, -91.0, -82.0, -91.0, -73.0, -91.0, -82.0, -82.0, -82.0, -82.0, -91.0, -64.0, -82.0, -82.0, -100.0, -82.0, -62.0, -91.0, -100.0, -82.0, -91.0, -82.0, -91.0, -91.0, -55.0, -52.0, -91.0, -91.0, -91.0, -82.0, -82.0, -82.0, -42.0, -100.0, -73.0, -82.0, -91.0, -82.0, -82.0, -91.0, -55.0, -82.0, -100.0, -64.0, -42.0, -91.0, -82.0, -22.0, -100.0, -100.0, -82.0, -82.0, -82.0, -73.0, -53.0, -73.0, -91.0, -62.0, -22.0, -52.0, -12.0, -91.0, -32.0, -52.0, -82.0, -62.0, -73.0, -42.0, -100.0, -52.0, -64.0, -91.0, -82.0, -91.0, -22.0, -100.0, -73.0, -82.0, -91.0, -100.0, -100.0, -23.0, -82.0, -73.0, -13.0, -73.0, -100.0, -82.0, -82.0, -73.0, -82.0, -82.0, -62.0]","[9, 10, 10, 10, 10, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 6, 9, 5, 10, 7, 9, 10, 10, 10, 8, 10, 9, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 7, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10]",0.1119169202836958,2.0831298161219887,0.04680268652551063,10.562459191123208,0.0,0.093,344148.021,90.224,354.673,1000,1000,32,32,32,1000,1,8.705263157894738,31.431578947368422,"[1.0042806e+01 9.8310080e+00 9.3674002e+00 8.5931282e+00 9.8738794e+00
 8.9426556e+00 2.2775835e-01 1.0063829e+01 8.3434048e+00 9.5433416e+00
 8.7424622e+00 9.7486124e+00 8.9943380e+00 1.0312843e+01 9.1022253e+00
 9.0573559e+00 9.4115896e+00 9.4797192e+00 9.1022253e+00 8.6963348e+00
 9.6732197e+00 5.5615157e-03 2.2775835e-01 9.2568741e+00 8.9075441e+00
 9.5433416e+00 8.7424622e+00 4.7783729e-01 9.6387520e+00 1.4639258e-02
 8.3434048e+00 7.8869545e-01]",0.0005000000237487257,-0.096558966,-0.56458575,0.6250192,7.5967817
8.0,-100.0,-66.14545454545454,9.118181818181819,110,0,2003,32,2003,False,214,2,default,acd59bdf299f4d519b5c67b2c0289400,2023-12-07_11-28-56,1701966536,13.255531072616577,26.30708336830139,5268,shossain-Legion-5,10.226.91.212,26.30708336830139,64,2,"[-73.0, -73.0, -82.0, -13.0, -91.0, -53.0, -2.0, -82.0, -73.0, -53.0, -42.0, -64.0, -22.0, -82.0, -82.0, -12.0, -52.0, -82.0, -62.0, -82.0, -91.0, -82.0, -73.0, -33.0, -82.0, -82.0, -22.0, -73.0, -73.0, -32.0, -73.0, -100.0, -82.0, -91.0, -62.0, -91.0, -82.0, -91.0, -82.0, -42.0, -73.0, -62.0, -73.0, -91.0, -73.0, -82.0, -22.0, -73.0, -91.0, -73.0, -91.0, -73.0, -82.0, -82.0, -100.0, -64.0, -91.0, -91.0, -91.0, -64.0, -73.0, -82.0, -73.0, -12.0, -43.0, -42.0, -73.0, -2.0, -12.0, -100.0, -22.0, -53.0, -32.0, -82.0, -82.0, -82.0, -42.0, -91.0, -23.0, -91.0, 8.0, -82.0, -100.0, -82.0, -91.0, -91.0, -91.0, -34.0, -91.0, -100.0, -23.0, -82.0, -82.0, -82.0, -91.0, -22.0, -82.0, -32.0, -100.0, -42.0, -24.0, -82.0, -82.0, -82.0, -73.0, -22.0, -73.0, -43.0, -91.0, -42.0]","[10, 10, 10, 6, 10, 10, 4, 10, 10, 10, 8, 10, 6, 10, 10, 5, 9, 10, 10, 10, 10, 10, 10, 8, 10, 10, 6, 10, 10, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 5, 9, 8, 10, 4, 5, 10, 6, 10, 7, 10, 10, 10, 8, 10, 7, 10, 3, 10, 10, 10, 10, 10, 10, 9, 10, 10, 7, 10, 10, 10, 10, 6, 10, 7, 10, 8, 8, 10, 10, 10, 10, 6, 10, 9, 10, 8]",0.11391791992796628,1.724411389546956,0.04667626645512687,10.724385817369772,0.0,0.094,340740.614,3.244,9865.831,2003,2003,3520,32,3520,1503,2,8.594736842105265,31.684210526315795,"[  2.9907808    2.062458    -3.1276464   -5.440384     2.062458
  -0.35374737   0.9049444   -6.377288     3.4726477    4.067301
   1.3665524    2.4834366   -1.1257124    1.309618     0.26660633
  -3.7064192   -3.9362593    1.8821583  -10.199184    -9.473822
  -1.4392171    1.2198639  -10.199184   -10.607212    -9.160336
   0.71918297 -10.554873     0.7396517    3.6190195    1.8821583
   0.5669346   -3.1276464 ]",0.0005000000237487257,-10.114963,-14.356737,6.0637407,-1.7879112
8.0,-100.0,-56.4051724137931,8.637931034482758,116,0,3005,32,3005,False,330,3,default,acd59bdf299f4d519b5c67b2c0289400,2023-12-07_11-29-10,1701966550,13.400228500366211,39.7073118686676,5268,shossain-Legion-5,10.226.91.212,39.7073118686676,96,3,"[-91.0, -32.0, -91.0, -22.0, -62.0, -82.0, -91.0, -32.0, -73.0, -43.0, -14.0, -73.0, -73.0, -33.0, -82.0, -44.0, -62.0, -82.0, -64.0, -82.0, -55.0, -82.0, -64.0, -100.0, -64.0, -82.0, -55.0, -52.0, -91.0, -22.0, -32.0, -52.0, -42.0, -82.0, -22.0, -91.0, -91.0, -82.0, -2.0, -91.0, -12.0, -12.0, -22.0, -64.0, -12.0, -43.0, -22.0, -91.0, -91.0, -91.0, -22.0, -42.0, -73.0, -82.0, -82.0, -32.0, -82.0, -91.0, -64.0, -32.0, -64.0, -82.0, -64.0, -82.0, -12.0, -52.0, -73.0, 8.0, -42.0, -100.0, -73.0, -53.0, -82.0, -12.0, -12.0, 8.0, 8.0, -64.0, -64.0, -42.0, -12.0, -62.0, -64.0, -42.0, -53.0, -52.0, -82.0, -22.0, -91.0, -42.0, -55.0, -82.0, -73.0, -82.0, -64.0, -2.0, -22.0, -73.0, -82.0, -44.0, -42.0, -64.0, -73.0, -12.0, -2.0, -91.0, -73.0, -42.0, -82.0, -64.0, -73.0, -12.0, -100.0, -64.0, -82.0, -73.0]","[10, 7, 10, 6, 10, 10, 10, 7, 10, 9, 7, 10, 10, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 10, 6, 7, 9, 8, 10, 6, 10, 10, 10, 4, 10, 5, 5, 6, 10, 5, 9, 6, 10, 10, 10, 6, 8, 10, 10, 10, 7, 10, 10, 10, 7, 10, 10, 10, 10, 5, 9, 10, 3, 8, 10, 10, 10, 10, 5, 5, 3, 3, 10, 10, 8, 5, 10, 10, 8, 10, 9, 10, 6, 10, 8, 10, 10, 10, 10, 10, 4, 6, 10, 10, 10, 8, 10, 10, 5, 4, 10, 10, 8, 10, 10, 10, 5, 10, 10, 10, 10]",0.11630837154324977,1.6052183594135783,0.04718308439273797,10.811438658835486,0.0,0.093,342654.399,3.302,9691.37,3005,3005,7168,32,7168,2523,4,8.578947368421053,31.70526315789474,"[  8.148211   -17.421558    -3.6111035   -3.175499     0.692152
   0.75863075   7.183219     0.04272652  -4.3045616    0.15360641
  -5.001483     2.61806      0.1223278    0.19114271  -5.6888638
  -3.6457043    0.3089199  -18.514631    -2.1216307   -4.446205
   1.9246159   -0.8196974    0.75863075  -4.3045616  -21.537327
   0.12802505   2.6628323   -4.7098846  -12.788648   -29.065681
  -0.44110197  10.747397  ]",0.0005000000237487257,-14.139099,-27.421558,6.183219,-3.2861764
8.0,-100.0,-38.096296296296295,7.437037037037037,135,0,4009,32,4009,False,465,4,default,acd59bdf299f4d519b5c67b2c0289400,2023-12-07_11-29-23,1701966563,13.577861785888672,53.285173654556274,5268,shossain-Legion-5,10.226.91.212,53.285173654556274,128,4,"[-23.0, -62.0, -91.0, -82.0, -22.0, -64.0, -82.0, -33.0, -43.0, -44.0, -62.0, 7.0, -32.0, -42.0, -12.0, -13.0, -73.0, -52.0, -73.0, 8.0, -32.0, 8.0, -91.0, -12.0, -14.0, -64.0, -3.0, -42.0, -12.0, -22.0, -43.0, -12.0, -32.0, -64.0, -73.0, -12.0, -2.0, -12.0, -2.0, -12.0, -2.0, 8.0, -82.0, -62.0, -12.0, -35.0, -91.0, -53.0, -32.0, -24.0, -32.0, -64.0, -22.0, -2.0, -3.0, -91.0, -12.0, -82.0, 7.0, -64.0, -3.0, 8.0, -73.0, -82.0, -64.0, 8.0, -52.0, -64.0, -12.0, -12.0, -44.0, -12.0, -12.0, -62.0, -82.0, -2.0, -64.0, -82.0, -91.0, -91.0, -12.0, -52.0, -3.0, -42.0, -32.0, -2.0, -82.0, -73.0, -23.0, -55.0, -73.0, -91.0, -13.0, -34.0, 5.0, -12.0, -3.0, -73.0, -22.0, -22.0, -2.0, -82.0, -62.0, -2.0, -52.0, -23.0, -22.0, -91.0, -82.0, -73.0, -52.0, -22.0, -12.0, -2.0, -33.0, -55.0, -12.0, -32.0, -25.0, -22.0, -53.0, 8.0, 8.0, -73.0, -73.0, -32.0, -22.0, -42.0, -22.0, -73.0, -100.0, -2.0, -24.0, -62.0, -33.0]","[7, 10, 10, 10, 6, 10, 10, 8, 9, 10, 10, 4, 7, 8, 5, 6, 10, 9, 10, 3, 7, 3, 10, 5, 7, 10, 5, 8, 5, 6, 9, 5, 7, 10, 10, 5, 4, 5, 4, 5, 4, 3, 10, 10, 5, 10, 10, 10, 7, 8, 7, 10, 6, 4, 5, 10, 5, 10, 4, 10, 5, 3, 10, 10, 10, 3, 9, 10, 5, 5, 10, 5, 5, 10, 10, 4, 10, 10, 10, 10, 5, 9, 5, 8, 7, 4, 10, 10, 7, 10, 10, 10, 6, 9, 6, 5, 5, 10, 6, 6, 4, 10, 10, 4, 9, 7, 6, 10, 10, 10, 9, 6, 5, 4, 8, 10, 5, 7, 9, 6, 10, 3, 3, 10, 10, 7, 6, 8, 6, 10, 10, 4, 8, 10, 8]",0.12107329475612116,1.549633661113178,0.0474518968577397,10.86456906468494,0.0,0.097,329368.658,3.105,10304.861,4009,4009,11296,32,11296,3535,6,8.73157894736842,31.731578947368426,"[ -8.874639     0.64959145 -19.52808      6.488353    -5.3661346
  -8.701378   -21.029652     4.7355404   -0.19041961   0.67385864
   1.0456524    6.4702845   -9.895974     0.73547363   8.451868
   2.3988962   -3.5323687    5.938635   -15.303976   -13.255882
   6.819723    -3.5323687   -4.159768   -26.264118     9.209134
   1.5733895    9.18103      5.7177086    6.9423122   -6.2105083
 -14.138361     0.9458704 ]",0.0005000000237487257,-14.807375,-28.006311,5.5230236,-2.562697
8.0,-91.0,-29.233333333333334,6.6866666666666665,150,0,5012,32,5012,False,615,5,default,acd59bdf299f4d519b5c67b2c0289400,2023-12-07_11-29-37,1701966577,13.74902629852295,67.03419995307922,5268,shossain-Legion-5,10.226.91.212,67.03419995307922,160,5,"[-22.0, -62.0, -44.0, -73.0, -53.0, -14.0, -33.0, -33.0, -2.0, -13.0, -73.0, -64.0, -34.0, -32.0, -91.0, 8.0, -4.0, -52.0, -42.0, -12.0, -91.0, -2.0, -22.0, -73.0, -2.0, -12.0, 8.0, -32.0, -91.0, -12.0, -22.0, -73.0, -3.0, -12.0, -2.0, -13.0, -32.0, -91.0, -2.0, -22.0, -12.0, -24.0, -91.0, -43.0, -2.0, -12.0, -2.0, -64.0, -91.0, -12.0, -23.0, 8.0, -14.0, -42.0, -42.0, -16.0, -12.0, -91.0, -12.0, -3.0, -82.0, -33.0, -44.0, -91.0, -12.0, -14.0, -24.0, -23.0, -2.0, 8.0, -2.0, -32.0, -73.0, -12.0, -91.0, -64.0, -2.0, -12.0, -12.0, -3.0, 8.0, -33.0, -91.0, -34.0, -3.0, -2.0, 8.0, -33.0, -52.0, -12.0, 8.0, -13.0, -12.0, -2.0, -22.0, -52.0, -3.0, 7.0, -12.0, -42.0, -91.0, -35.0, 8.0, 8.0, -64.0, -82.0, -2.0, -12.0, -12.0, -13.0, -2.0, -2.0, -82.0, 8.0, -73.0, -23.0, -4.0, -44.0, -91.0, -13.0, -73.0, -53.0, -12.0, 8.0, -13.0, -2.0, 8.0, -91.0, -33.0, 7.0, -73.0, 8.0, -43.0, -2.0, -3.0, -2.0, -91.0, -2.0, -3.0, -33.0, -12.0, -2.0, -3.0, -12.0, -12.0, -64.0, -42.0, -82.0, -82.0, -2.0]","[6, 10, 10, 10, 10, 7, 8, 8, 4, 6, 10, 10, 9, 7, 10, 3, 6, 9, 8, 5, 10, 4, 6, 10, 4, 5, 3, 7, 10, 5, 6, 10, 5, 5, 4, 6, 7, 10, 4, 6, 5, 8, 10, 9, 4, 5, 4, 10, 10, 5, 7, 3, 7, 8, 8, 9, 5, 10, 5, 5, 10, 8, 10, 10, 5, 7, 8, 7, 4, 3, 4, 7, 10, 5, 10, 10, 4, 5, 5, 5, 3, 8, 10, 9, 5, 4, 3, 8, 9, 5, 3, 6, 5, 4, 6, 9, 5, 4, 5, 8, 10, 10, 3, 3, 10, 10, 4, 5, 5, 6, 4, 4, 10, 3, 10, 7, 6, 10, 10, 6, 10, 10, 5, 3, 6, 4, 3, 10, 8, 4, 10, 3, 9, 4, 5, 4, 10, 4, 5, 8, 5, 4, 5, 5, 5, 10, 8, 10, 10, 4]",0.12578427755925417,1.5177661112723129,0.04793540365606065,10.914948750892943,0.0,0.092,348436.469,3.283,9746.899,5012,5012,15712,32,15712,4547,8,8.915000000000003,31.755000000000003,"[  0.06810808   4.110317     2.3539848    6.1897244    4.8832855
  -1.5176926  -20.628483    -8.227358     1.7506714    8.244462
   0.3251295   11.420065     9.653332   -14.607784    10.584964
   1.767069     1.5060501    2.0899544  -15.569534     2.3539848
   9.653332   -28.044844   -11.482101     8.047292    -6.7197695
  -9.184357     4.3644304   -2.6925516    3.0344915    1.4269943
  -0.09346116 -19.926922  ]",0.0005000000237487257,-14.83506,-32.64691,9.495513,-1.4021006
