action,all_action_probabilities,episode_id,episode_name,reward,transition_number,state_feature_0,state_feature_1,state_feature_2,state_feature_3,state_feature_4
0,"[0.99993795, 1.0277655e-05, 1.0502515e-05, 1.1184539e-05, 1.4175011e-05, 1.572671e-05]",0,cancer,-1,0,1,3,0,1,0
2,"[1.241924e-05, 7.8797375e-06, 0.533803, 0.46616262, 3.1435216e-06, 1.1102921e-05]",0,cancer,-1,1,0,2,0,1,0
2,"[4.8144477e-05, 7.688961e-05, 0.8766871, 9.9548866e-05, 0.12301582, 7.228782e-05]",0,cancer,-1,2,0,1,1,1,0
4,"[2.0832715e-05, 3.8198683e-05, 1.9435807e-05, 2.2533077e-05, 0.99988085, 1.8100569e-05]",0,cancer,10,3,0,0,1,1,0
,,0,cancer,,,0,0,0,1,0
1,"[0.088281974, 0.91161376, 4.829033e-05, 3.5191286e-05, 1.42054705e-05, 6.3539824e-06]",1,cancer,-1,0,1,3,1,1,0
5,"[3.1469965e-05, 8.3523755e-06, 3.265528e-05, 6.107632e-05, 3.164542e-05, 0.99983495]",1,cancer,-1,1,0,3,1,1,1
4,"[2.0832715e-05, 3.8198683e-05, 1.9435807e-05, 2.2533077e-05, 0.99988085, 1.8100569e-05]",1,cancer,10,2,0,0,1,1,0
,,1,cancer,,,0,0,0,1,0
0,"[0.99990654, 1.798261e-05, 2.5771404e-05, 1.5162788e-05, 1.3846552e-05, 2.0980035e-05]",2,cancer,-1,0,0,3,0,0,0
3,"[1.2835679e-05, 1.3797056e-05, 0.40042424, 0.5340484, 0.06549313, 7.2474436e-06]",2,cancer,-1,1,0,2,1,0,0
4,"[3.1209613e-05, 4.5082812e-05, 2.5280411e-05, 1.7925284e-05, 0.99985975, 2.0309953e-05]",2,cancer,10,2,0,0,1,0,0
,,2,cancer,,,0,0,0,0,0
1,"[0.088281974, 0.91161376, 4.829033e-05, 3.5191286e-05, 1.42054705e-05, 6.3539824e-06]",3,cancer,-1,0,1,3,1,1,0
5,"[3.1469965e-05, 8.3523755e-06, 3.265528e-05, 6.107632e-05, 3.164542e-05, 0.99983495]",3,cancer,-1,1,0,3,1,1,1
4,"[2.0832715e-05, 3.8198683e-05, 1.9435807e-05, 2.2533077e-05, 0.99988085, 1.8100569e-05]",3,cancer,10,2,0,0,1,1,0
,,3,cancer,,,0,0,0,1,0
0,"[0.5277682, 0.47210374, 5.01515e-05, 3.406328e-05, 1.5278372e-05, 2.8838967e-05]",4,cancer,-1,0,0,3,1,1,0
2,"[4.8144477e-05, 7.688961e-05, 0.8766871, 9.9548866e-05, 0.12301582, 7.228782e-05]",4,cancer,-1,1,0,1,1,1,0
4,"[2.0832715e-05, 3.8198683e-05, 1.9435807e-05, 2.2533077e-05, 0.99988085, 1.8100569e-05]",4,cancer,10,2,0,0,1,1,0
,,4,cancer,,,0,0,0,1,0
1,"[0.0667927, 0.93304163, 8.7137145e-05, 5.410288e-05, 1.8542984e-05, 5.6642016e-06]",5,cancer,-1,0,1,3,1,0,0
5,"[1.4453911e-05, 6.847948e-06, 6.839819e-05, 6.675426e-05, 5.8486894e-05, 0.99978536]",5,cancer,-1,1,0,3,1,0,1
4,"[3.1209613e-05, 4.5082812e-05, 2.5280411e-05, 1.7925284e-05, 0.99985975, 2.0309953e-05]",5,cancer,10,2,0,0,1,0,0
,,5,cancer,,,0,0,0,0,0
0,"[0.5146528, 0.48516133, 8.722154e-05, 4.769015e-05, 2.3821449e-05, 2.7288543e-05]",6,cancer,-1,0,0,3,1,0,0
3,"[1.2835679e-05, 1.3797056e-05, 0.40042424, 0.5340484, 0.06549313, 7.2474436e-06]",6,cancer,-1,1,0,2,1,0,0
4,"[3.1209613e-05, 4.5082812e-05, 2.5280411e-05, 1.7925284e-05, 0.99985975, 2.0309953e-05]",6,cancer,10,2,0,0,1,0,0
,,6,cancer,,,0,0,0,0,0
0,"[0.9999152, 1.7237624e-05, 1.8862027e-05, 1.2836059e-05, 1.2868981e-05, 2.2906896e-05]",7,cancer,-1,0,0,3,0,1,0
3,"[1.0289355e-05, 1.0991038e-05, 0.3613473, 0.5686705, 0.069951, 9.985718e-06]",7,cancer,-1,1,0,2,1,1,0
4,"[2.0832715e-05, 3.8198683e-05, 1.9435807e-05, 2.2533077e-05, 0.99988085, 1.8100569e-05]",7,cancer,10,2,0,0,1,1,0
,,7,cancer,,,0,0,0,1,0
0,"[0.99990654, 1.798261e-05, 2.5771404e-05, 1.5162788e-05, 1.3846552e-05, 2.0980035e-05]",8,cancer,-1,0,0,3,0,0,0
2,"[5.4329037e-05, 7.889389e-05, 0.90142894, 7.179405e-05, 0.09830563, 6.0285827e-05]",8,cancer,-1,1,0,1,1,0,0
