Epoch,Update Target Network,Training Iter,Episode #,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,48.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.003421783447265625,,,,,,,,,877.6598053773245,488.1207938086259,1651.7653980255127,38.12229919433594,0.0001,0.0,0.0001,0.0001,11.547813415527344,2.459371328353882,16.707935333251953,7.155885696411133,,,,,0.00472540408372879,2.496400833129883,10.0,-10.390162467956543
2,0.0,96.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.4027228355407715,,,,-880.9589420251323,-0.0859643965959549,-388.68008283717666,-12.038462162379085,-2853.8249797361354,782.8795504371325,407.9365905303845,1418.6050119400024,32.586036682128906,0.0001,0.0,0.0001,0.0001,13.76436710357666,3.7354953289031982,22.71669578552246,7.365321159362793,,,,,-0.14072687923908234,2.5472536087036133,10.0,-10.390162467956543
3,1.0,144.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.6874053478240967,,,,-1078.0968577834287,0.6065996289253235,-358.3424460822229,-5.317466133625712,-3522.8728675728184,683.416616598765,367.0978683003568,1283.7978553771973,38.11729431152344,0.0001,0.0,0.0001,0.0001,17.500944137573242,3.4141383171081543,24.75338363647461,11.191378593444824,,,,,-0.29363682866096497,2.758871078491211,10.0,-11.697883605957031
4,0.0,192.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.01055908203125,,,,-1087.2243055772042,0.6683509349822998,-362.2042967202293,5.590444638590125,-3530.7628115787634,515.2911288738251,269.82209010562656,958.3752679824829,22.425434112548828,0.0001,0.0,0.0001,0.0001,20.303468704223633,4.951760768890381,32.363037109375,12.010522842407227,,,,,-0.370007187128067,2.933462381362915,10.0,-11.697883605957031
5,1.0,240.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.3624510765075684,,,,-1087.4972110744973,0.6729257702827454,-362.3619898305684,7.782096504588783,-3533.0668757211765,490.4272223711014,291.97628502418854,953.4664888381958,8.366867065429688,0.0001,0.0,0.0001,0.0001,22.36572265625,5.104659080505371,33.627254486083984,12.393462181091309,,,,,-0.24154122173786163,3.329423189163208,10.0,-14.67318344116211
6,0.0,288.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.774118423461914,,,,-1087.5043202457177,0.6732066869735718,-362.36691254868083,7.7948473971733865,-3535.124703365424,371.0307657023271,199.4133799825065,687.1281905174255,20.706052780151367,0.0001,0.0,0.0001,0.0001,19.8252010345459,4.533769130706787,33.6312141418457,10.736443519592285,,,,,-0.01510925404727459,3.5397751331329346,10.0,-14.67318344116211
7,1.0,336.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,2.162235975265503,,,,-1087.5326348551202,0.6730722784996033,-362.39445625987264,7.803497851918538,-3536.1688347695713,431.8898710211118,274.3653717661093,890.5927891731262,10.18600845336914,0.0001,0.0,0.0001,0.0001,22.340734481811523,6.118638038635254,38.0510368347168,11.23094367980957,,,,,0.32621657848358154,3.9136719703674316,10.0,-18.769634246826172
8,0.0,384.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,2.5615456104278564,,,,-1089.0716200448587,0.6247808933258057,-364.12127328260516,7.705109098207182,-3541.2250311403504,399.4746718406677,210.8172058855041,743.0887842178345,15.061515808105469,0.0001,0.0,0.0001,0.0001,21.44020652770996,5.548954963684082,35.832801818847656,12.487935066223145,,,,,0.8000958561897278,4.056423664093018,10.168967247009277,-18.769634246826172
9,1.0,432.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,2.95037579536438,,,,-937.3501512996899,0.08163467049598694,-367.485730557047,0.915624103622495,-2972.715289890843,427.45309406518936,266.5557111873409,878.6096019744873,16.287567138671875,0.0001,0.0,0.0001,0.0001,25.927499771118164,7.9703450202941895,47.70656204223633,10.786616325378418,,,,,1.135322093963623,4.464395523071289,10.578665733337402,-24.22931480407715
10,0.0,480.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,3.2595467567443848,,,,-632.2812365784642,-0.5808213353157043,-362.922246300013,1.5332820189871268,-1827.4484460227673,403.40615835785866,231.7561954914544,748.1839835643768,15.821916580200195,0.0001,0.0,0.0001,0.0001,23.91278839111328,7.569393157958984,42.771949768066406,9.608457565307617,,,,,1.6818338632583618,4.711985111236572,10.581903457641602,-24.22931480407715
11,1.0,528.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,3.685696601867676,,,,-683.4542352103069,-0.7559387683868408,-478.1464724861566,-1.3775915132047103,-2076.275537153976,394.5733485072851,258.83681306375456,834.8850781917572,15.041028022766113,0.0001,0.0,0.0001,0.0001,29.593294143676758,12.881865501403809,70.158935546875,8.466221809387207,,,,,1.973440408706665,5.232950210571289,10.615399360656738,-30.507394790649414
12,0.0,576.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,4.178197383880615,,,,-595.3719660368528,-0.8641467094421387,-539.153035997396,-1.9672819696592423,-2175.082394594105,408.39392251272994,221.50697067039593,811.0157368183136,25.279098510742188,0.0001,0.0,0.0001,0.0001,27.88285255432129,15.418294906616211,102.9764633178711,11.374499320983887,,,,,2.3865270614624023,5.753093242645264,10.520342826843262,-30.507396697998047
13,1.0,624.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,4.669414758682251,,,,-637.4460249153394,-1.1442103385925293,-587.9230259400863,-2.0800137378468175,-2352.236093035286,449.88639184087515,237.1824394149461,869.0354429483414,28.162023544311523,0.0001,0.0,0.0001,0.0001,29.993173599243164,13.449174880981445,66.46419525146484,12.343396186828613,,,,,2.517369508743286,6.30940055847168,10.511554718017578,-37.29294204711914
14,0.0,672.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,5.146542072296143,,,,-645.664670019661,-1.1977921724319458,-591.4523106138782,6.377844236076728,-2378.663951339069,471.34336843093234,307.8394925966065,960.8078465461731,19.86110496520996,0.0001,0.0,0.0001,0.0001,35.10811233520508,14.964962005615234,77.08550262451172,12.64439582824707,,,,,2.720494508743286,6.9690728187561035,11.33385944366455,-37.29294204711914
15,1.0,720.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,5.46863579750061,,,,-614.8994587131714,-1.2392600774765015,-552.0559031634747,7.757602770079629,-2262.6649674937075,494.55862556397915,327.72791326006893,1089.3350808620453,13.34179401397705,0.0001,0.0,0.0001,0.0001,39.30077362060547,20.19218635559082,110.60972595214844,11.889430046081543,,,,,2.697917938232422,7.434974193572998,12.099570274353027,-44.14215087890625
16,0.0,768.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,5.747751712799072,,,,-577.911004417183,-1.303605318069458,-505.34059794546135,7.766622658068643,-2119.7284701167146,657.0251641025146,365.3563140246057,1403.5116255283356,28.96722412109375,0.0001,0.0,0.0001,0.0001,48.77616500854492,34.769264221191406,239.61119079589844,13.399693489074707,,,,,2.7154242992401123,8.101316452026367,12.847448348999023,-44.14215087890625
17,1.0,816.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,6.036998748779297,,,,-465.4469766999201,-1.3886851072311401,-390.07109573618624,7.785140864627268,-1693.0714576195921,690.0789766858021,412.79243300722123,1394.041502714157,8.661721229553223,0.0001,0.0,0.0001,0.0001,46.35161209106445,21.49488639831543,124.34246826171875,16.946292877197266,,,,,2.727360486984253,8.348453521728516,13.177857398986816,-49.032779693603516
18,0.0,864.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,6.382249116897583,,,,-459.8943504413244,-1.4009935855865479,-382.25186185801635,7.699515533041061,-1672.229619451922,894.2842721740404,472.41603937320536,1600.802589893341,26.20989227294922,0.0001,0.0,0.0001,0.0001,49.37887191772461,21.84712791442871,125.21515655517578,8.0601806640625,,,,,2.6713197231292725,8.872930526733398,13.85512924194336,-49.032779693603516
19,1.0,912.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,6.853744745254517,,,,-422.1990383126012,-1.3950676918029785,-344.61293333008393,5.475218237386191,-1537.2056321885414,826.895165771246,446.72953021375116,1668.4051442146301,7.192714691162109,0.0001,0.0,0.0001,0.0001,52.876617431640625,26.517465591430664,144.40647888183594,11.30242919921875,,,,,2.507721424102783,9.218379974365234,13.892643928527832,-54.96916580200195
20,0.0,960.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,7.2718658447265625,,,,-413.50228014508394,-1.3537415266036987,-338.10757580844125,3.5872956455884997,-1529.9172020298088,1144.0984974304836,556.4139140380449,2034.5500326156616,210.96665954589844,0.0001,0.0,0.0001,0.0001,65.3884048461914,39.31727600097656,207.49049377441406,17.093875885009766,,,,,2.4118950366973877,9.813228607177734,14.334087371826172,-54.96916580200195
21,1.0,1008.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,7.699945688247681,,,,-403.2860997138004,-1.3127115964889526,-329.58908947109296,-1.17700640832216,-1511.6011294884593,1048.8994158854086,628.9755661187595,2020.1705405712128,7.930564880371094,0.0001,0.0,0.0001,0.0001,60.71028518676758,30.442476272583008,173.80465698242188,14.06786060333252,,,,,2.355363607406616,10.017078399658203,14.61362361907959,-59.41610336303711
22,0.0,1056.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,8.12209963798523,,,,-406.4250185740929,-1.289235234260559,-332.86456664237613,-1.5625801907112558,-1525.8764224119036,1132.806641002496,705.9128644230829,2374.230945587158,86.11282348632812,0.0001,0.0,0.0001,0.0001,71.78372955322266,38.58469772338867,197.28536987304688,26.156429290771484,,,,,2.173926591873169,10.495213508605957,14.392549514770508,-59.41610336303711
23,1.0,1104.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,8.59135627746582,,,,-400.65952201386716,-1.2868574857711792,-327.2439368763866,-2.364334567970412,-1505.8134034875459,1229.8916348616283,766.104253718233,2349.4907875061035,10.778932571411133,0.0001,0.0,0.0001,0.0001,69.64382934570312,36.621273040771484,175.17474365234375,21.920188903808594,,,,,2.125028610229492,10.623638153076172,14.5677490234375,-62.78559875488281
24,0.0,1152.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,9.062709093093872,,,,-398.78928929454133,-1.2868698835372925,-325.4179871581478,-2.672138796147893,-1499.2742406399882,1513.5547099312146,787.718585577883,2986.8152911663055,15.987446784973145,0.0001,0.0,0.0001,0.0001,79.36970520019531,66.50405883789062,439.1427307128906,22.107759475708008,,,,,1.9642298221588135,11.037482261657715,14.505486488342285,-62.78559875488281
25,1.0,1200.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,9.509759902954102,,,,-398.46849977622816,-1.2818408012390137,-325.13734781525915,-2.8295682334421643,-1498.6296049445846,1318.7072478135426,835.6598231352232,2632.048075199127,48.27904510498047,0.0001,0.0,0.0001,0.0001,71.2734146118164,32.98807144165039,194.4270477294922,25.5817813873291,,,,,1.8885178565979004,11.150053977966309,14.42534351348877,-62.78559875488281
26,0.0,1248.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,9.813921689987183,,,,-398.7647258740809,-1.2775092124938965,-325.5363245248578,-2.7885103128362547,-1499.4109867069753,1444.1089651857812,851.1270743183559,2988.1604412794113,117.67034912109375,0.0001,0.0,0.0001,0.0001,84.07380676269531,50.45132827758789,239.03240966796875,9.02276611328125,,,,,1.8538681268692017,11.522451400756836,14.437650680541992,-66.36799621582031
27,0.0,1296.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,10.14717960357666,,,,-409.8858167069585,-1.2618670463562012,-336.59799093532956,-2.8552893343613315,-1539.5299320489578,1377.907994667689,930.0704355240663,3128.440321445465,77.13793182373047,0.0001,0.0,0.0001,0.0001,92.63406372070312,59.81236267089844,396.10272216796875,31.10674476623535,,,,,1.8041611909866333,11.690447807312012,14.560284614562988,-66.36799621582031
28,1.0,1344.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,10.42960500717163,,,,-407.7571785062197,-1.2854759693145752,-334.51588027924544,-2.765203422811567,-1531.9208153123475,1518.969597041607,995.0781166139183,3246.4357028007507,4.138747215270996,0.0001,0.0,0.0001,0.0001,90.5035171508789,48.8613395690918,269.5055847167969,20.71407127380371,,,,,1.7151700258255005,11.848888397216797,14.190857887268066,-69.11043548583984
29,0.0,1392.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,10.810105800628662,,,,-436.0618814030632,-1.260675072669983,-362.51660949251226,-2.722005840987911,-1635.5362351342612,1577.5455387632053,1045.1496176635621,3230.877809524536,12.329051971435547,0.0001,0.0,0.0001,0.0001,85.72472381591797,35.68848419189453,183.55361938476562,27.41609764099121,,,,,1.6781854629516602,11.98778247833252,14.195693016052246,-69.11043548583984
30,1.0,1440.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,11.084232568740845,,,,-434.556036774772,-1.2859247922897339,-361.953984187931,-2.2426090483648546,-1629.5288815594372,1414.2738441328208,1058.8294387917178,3488.033242225647,10.38796329498291,0.0001,0.0,0.0001,0.0001,99.25988006591797,57.519718170166016,293.06414794921875,31.789806365966797,,,,,1.6014736890792847,12.299018859863281,14.306238174438477,-71.70426177978516
31,0.0,1488.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,11.359079837799072,,,,-395.37601897318655,-1.3057383298873901,-325.294422945013,-2.68620244339321,-1484.1907316738257,1690.525596872593,1078.9762114296966,3499.1343375742435,71.21391296386719,0.0001,0.0,0.0001,0.0001,99.1312484741211,42.394561767578125,187.83383178710938,4.356669902801514,,,,,1.6655120849609375,12.233613967895508,14.19764232635498,-71.70426177978516
32,1.0,1536.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,11.634275197982788,,,,-421.1418945030296,-1.2736274003982544,-349.4508502087549,-2.9242040227461485,-1579.536051248813,1924.6130169232686,1193.9068377095314,3689.0438029766083,8.58172607421875,0.0001,0.0,0.0001,0.0001,95.26371002197266,44.586856842041016,248.370849609375,16.949796676635742,,,,,1.3689265251159668,12.577017784118652,14.055707931518555,-74.27894592285156
33,0.0,1584.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,11.90375280380249,,,,-386.61811132940073,-1.3099490404129028,-316.8808694865381,-2.8184183193218098,-1452.6819319427175,1977.8996986150742,1073.0240848328165,3736.8569478988647,128.7440185546875,0.0001,0.0,0.0001,0.0001,103.65973663330078,74.12356567382812,495.1050720214844,36.197669982910156,,,,,1.3246442079544067,12.689697265625,14.074756622314453,-74.27894592285156
34,1.0,1632.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,12.179761171340942,,,,-396.78056642565224,-1.3129140138626099,-326.4567953193237,-2.9245979314912827,-1489.684238515417,2172.8450470268726,1147.6948398166687,3923.9040093421936,121.11353302001953,0.0001,0.0,0.0001,0.0001,107.2141342163086,54.95464324951172,271.67266845703125,28.202133178710938,,,,,1.2572872638702393,12.853447914123535,13.841292381286621,-76.85296630859375
35,0.0,1680.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,12.621554851531982,,,,-435.12437505874607,-1.298457384109497,-364.08767063354804,-2.8984890912269203,-1630.8024162612578,2159.0846447298923,1235.9444347913209,4040.472889184952,6.289015769958496,0.0001,0.0,0.0001,0.0001,105.6600570678711,51.82682800292969,259.76593017578125,22.0747013092041,,,,,1.161309003829956,13.072086334228516,13.792325973510742,-76.85296630859375
36,1.0,1728.0,0.0,0.0,3772.0,1000.0,0.0,0.0,0.0,0.0,0.0,13.076287031173706,,,,-465.4519696217926,-1.3037985563278198,-394.2002782113159,-2.7267987716604787,-1744.441514660947,2069.4085470438004,1217.4009731051353,4144.563453197479,209.3618927001953,0.0001,0.0,0.0001,0.0001,108.87715911865234,60.204681396484375,314.2177429199219,28.981904983520508,,,,,1.238148808479309,13.090106010437012,13.71535587310791,-78.39136505126953
