Epoch,Update Target Network,Training Iter,Episode #,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,56.0,0.0,0.0,4408.0,1061.0,0.0,0.0,0.0,0.0,0.0,0.0036187171936035156,,,,,,,,,1065.4896147932325,602.0342938762913,2067.9251670837402,19.43797492980957,0.00010000000000000002,1.3552527156068805e-20,0.0001,0.0001,11.402989387512207,3.0516891479492188,26.831836700439453,5.684967041015625,,,,,0.014387685805559158,2.551025867462158,10.0,-10.120251655578613
2,1.0,112.0,0.0,0.0,4408.0,1061.0,0.0,0.0,0.0,0.0,0.0,0.4082973003387451,,,,-205343.28902478135,-3.20770525932312,-63752.02733598928,-66.51550663090525,-3.7778118465884464e+28,937.8223107882908,515.4831625313973,1782.6946926116943,39.89093780517578,0.00010000000000000002,1.3552527156068805e-20,0.0001,0.0001,13.775731086730957,3.071514129638672,21.69412612915039,8.810219764709473,,,,,-0.12436100095510483,2.630699396133423,10.0,-11.572344779968262
3,0.0,168.0,0.0,0.0,4408.0,1061.0,0.0,0.0,0.0,0.0,0.0,0.7433135509490967,,,,-141914.76052925404,-2.4131181240081787,-14643.208551686685,-45.836500541708055,-32054350003492.32,804.5190941946847,449.8114221861488,1553.2527675628662,28.92426872253418,0.00010000000000000002,1.3552527156068805e-20,0.0001,0.0001,16.943986892700195,4.237354755401611,28.870492935180664,8.949013710021973,,,,,-0.335748553276062,2.8634517192840576,10.0,-11.572344779968262
4,1.0,224.0,0.0,0.0,4408.0,1061.0,0.0,0.0,0.0,0.0,0.0,1.1110308170318604,,,,-124988.2111980939,-2.3627877235412598,-1064.4190508159124,-29.261033750485755,-2538822259910.731,676.3035449130194,385.8859629076583,1356.3654947280884,19.633281707763672,0.00010000000000000002,1.3552527156068805e-20,0.0001,0.0001,18.943628311157227,5.00778341293335,36.87071228027344,9.575679779052734,,,,,-0.5296977758407593,3.2015023231506348,10.0,-13.489598274230957
5,0.0,280.0,0.0,0.0,4408.0,1061.0,0.0,0.0,0.0,0.0,0.0,1.4934420585632324,,,,-124253.88952185641,-2.3599729537963867,-478.0621168149178,-12.227053725383085,-2541898626409.4478,661.7594516617911,368.2158580392243,1255.6623582839966,35.170894622802734,0.00010000000000000002,1.3552527156068805e-20,0.0001,0.0001,19.660030364990234,4.521080493927002,32.047523498535156,12.223675727844238,,,,,-0.6308706402778625,3.6106715202331543,10.0,-13.489598274230957
6,1.0,336.0,0.0,0.0,4408.0,1061.0,0.0,0.0,0.0,0.0,0.0,1.820542335510254,,,,-124203.17290942355,-2.359740972518921,-437.0847538020757,-6.413547254691502,-2544138265006.578,670.111114008086,421.97402723159536,1417.181957244873,20.347368240356445,0.00010000000000000002,1.3552527156068805e-20,0.0001,0.0001,20.22854232788086,5.15745735168457,40.29124450683594,11.67234992980957,,,,,-0.5942015051841736,3.973705291748047,10.0,-16.30987548828125
7,0.0,392.0,0.0,0.0,4408.0,1061.0,0.0,0.0,0.0,0.0,0.0,2.1611828804016113,,,,-124307.190189195,-2.3604257106781006,-508.8045820863733,7.170148059699373,-2543865815903.3135,708.344603725842,401.15354319516143,1344.7632131576538,23.660404205322266,0.00010000000000000002,1.3552527156068805e-20,0.0001,0.0001,21.483877182006836,5.366203308105469,35.16307067871094,13.038745880126953,,,,,-0.4528091549873352,4.165990352630615,10.02603816986084,-16.30987548828125
8,1.0,448.0,0.0,0.0,4408.0,1061.0,0.0,0.0,0.0,0.0,0.0,2.4784111976623535,,,,-125177.65356676083,-2.3878777027130127,-1074.724467276534,7.558128430234391,-2542197388355.8555,776.7249844585147,460.69793141469745,1518.9239501953125,9.90722370147705,0.00010000000000000002,1.3552527156068805e-20,0.0001,0.0001,24.320404052734375,8.453855514526367,71.8075942993164,10.93264102935791,,,,,-0.3074283003807068,4.417146682739258,10.311605453491211,-19.44029426574707
9,1.0,504.0,0.0,0.0,4408.0,1061.0,0.0,0.0,0.0,0.0,0.0,2.8494808673858643,,,,-142939.54575945766,-3.03581166267395,-10854.373074237621,-78.18475984598798,-4171306919347.1323,690.7989075439317,385.5961857383294,1315.7056012153625,17.082305908203125,0.00010000000000000002,1.3552527156068805e-20,0.0001,0.0001,24.35361099243164,6.8397603034973145,41.10502624511719,12.364758491516113,,,,,-0.17863957583904266,4.519584655761719,10.417313575744629,-23.21743392944336
